title,url,published_at,company_name,company_id
マネーフォワード、三井住友トラストクラブとのAPI連携を開始,https://prtimes.jp/main/html/rd/p/000001537.000008962.html,2025-11-25 17:10,株式会社マネーフォワード,8962
マネーフォワード、初のAIネイティブプロダクト『マネーフォワード AI確定申告』（β版）を提供開始,https://prtimes.jp/main/html/rd/p/000001539.000008962.html,2025-11-25 13:10,株式会社マネーフォワード,8962
コーポレートガバナンステックのミチビク株式会社、グループジョインへ,https://prtimes.jp/main/html/rd/p/000001536.000008962.html,2025-11-21 19:10,株式会社マネーフォワード,8962
『マネーフォワード 請求書カード払い』、複数カードでの決済対応など大幅アップデートを実施,https://prtimes.jp/main/html/rd/p/000001530.000008962.html,2025-11-21 13:10,株式会社マネーフォワード,8962
【11月22日「いい夫婦の日」調査】いい夫婦の鍵は家事の”シェア”にあり！女性の6割が「自分の方が家事分担が多い」一方、公平感は男女でほぼ同水準夫婦・パートナー間の「認識のズレ」が明らかに,https://prtimes.jp/main/html/rd/p/000001535.000008962.html,2025-11-20 14:11,株式会社マネーフォワード,8962
『マネーフォワード光』、新プラン「マネーフォワード光 powered by NURO」の取り扱いを開始,https://prtimes.jp/main/html/rd/p/000001534.000008962.html,2025-11-18 23:40,株式会社マネーフォワード,8962
『マネーフォワード ME』プレミアム会員向け「Prime Coupon」第六弾を提供開始,https://prtimes.jp/main/html/rd/p/000001528.000008962.html,2025-11-18 18:10,株式会社マネーフォワード,8962
メディア関係者の方のみご覧頂けます,https://prtimes.jp/main/html/rd/p/000001533.000008962.html,2025-11-17 16:05,株式会社マネーフォワード,8962
メディア関係者の方のみご覧頂けます,https://prtimes.jp/main/html/rd/p/000001531.000008962.html,2025-11-17 15:30,株式会社マネーフォワード,8962
マネーフォワード、「Built for NetSuite」として認定,https://prtimes.jp/main/html/rd/p/000001529.000008962.html,2025-11-14 18:10,株式会社マネーフォワード,8962
『マネーフォワード ME』プレミアム会員向け「Prime Coupon」、「学びで世界をひらく。」をテーマに新たな提携ブランドを追加,https://prtimes.jp/main/html/rd/p/000001527.000008962.html,2025-11-07 17:02,株式会社マネーフォワード,8962
マネーフォワードホーム、「法人向け金融教育サービス」の提供を開始,https://prtimes.jp/main/html/rd/p/000001523.000008962.html,2025-11-06 18:10,株式会社マネーフォワード,8962
Money Forward X、地域金融機関向けバンキングアプリ『BANK APP』に「お金管理」機能追加のお知らせ,https://prtimes.jp/main/html/rd/p/000001525.000008962.html,2025-11-05 18:10,株式会社マネーフォワード,8962
マネーフォワードホーム、特別動画コンテンツ「Money Forward Pickers」第三弾を公開,https://prtimes.jp/main/html/rd/p/000001524.000008962.html,2025-10-31 20:10,株式会社マネーフォワード,8962
『マネーフォワード ME』プレミアム会員向け「Prime Coupon」、 「人生を豊かにする旅へ。」をテーマに新たな提携ブランドを追加,https://prtimes.jp/main/html/rd/p/000001522.000008962.html,2025-10-24 18:10,株式会社マネーフォワード,8962
『マネーフォワード ビジネスカード』、上限金額のオートコントロールが可能に,https://prtimes.jp/main/html/rd/p/000001520.000008962.html,2025-10-24 13:10,株式会社マネーフォワード,8962
マネーフォワード、提供サービスが「ITreview Grid Award 2025 Fall」で受賞,https://prtimes.jp/main/html/rd/p/000001521.000008962.html,2025-10-22 13:10,株式会社マネーフォワード,8962
書籍『会社は「本」で強くなる　マネーフォワード 全社で取り組む「読書経営」』発売,https://prtimes.jp/main/html/rd/p/000001519.000008962.html,2025-10-17 13:10,株式会社マネーフォワード,8962
